#{"t_start": 1654772385.6349294, "env_id": null}
r,l,t
11.112245,13,0.1522
12.877551,16,0.161248
6.6122446,22,0.212478
-18.5,11,0.229566
-21.0,16,0.309758
-24.0,22,0.309758
2.0204086,32,0.442115
17.010204,11,0.525641
-17.5,9,0.60026
-64.5,101,0.770415
13.193877,17,0.883519
-64.5,101,1.010402
-64.5,101,1.010402
-17.0,8,1.07854
1.969388,37,1.133682
-22.0,18,1.149697
12.561225,15,1.245638
-64.5,101,1.298229
-24.5,23,1.298229
13.336735,11,1.378937
-21.0,16,1.378937
-22.0,18,1.509496
-43.5,61,1.727859
-64.5,101,1.780271
9.377551,23,1.893237
-20.5,15,1.90272
-64.5,101,2.075019
10.234694,27,2.090644
13.112245,9,2.144909
-64.5,101,2.216757
14.377551,13,2.253286
12.969388,15,2.310673
-23.0,20,2.376196
8.612245,18,2.428693
8.112245,19,2.544979
-64.5,101,2.566106
9.612245,16,2.68103
-26.5,27,2.729065
-64.5,101,2.755399
-31.0,36,2.994274
-64.5,101,3.030951
6.2040815,22,3.12469
-64.5,101,3.297573
-64.5,101,3.345992
11.877551,18,3.443538
-25.5,25,3.443538
-64.5,101,3.60588
5.377551,31,3.61111
11.428572,14,3.673598
-64.5,101,3.689223
-23.0,20,3.725931
-25.5,25,3.83515
-22.0,18,3.83515
17.510204,10,3.8981
-64.5,101,4.044054
14.744898,9,4.096272
4.6122446,26,4.242258
-64.5,101,4.292833
-19.0,12,4.317966
-64.5,101,4.43437
-26.5,27,4.46562
-64.5,101,4.496869
10.612245,14,4.517913
-22.0,18,4.59603
-22.5,19,4.632822
-18.0,10,4.679671
-35.5,45,4.778895
9.285714,24,4.86765
-64.5,101,4.944174
-64.5,101,5.293197
-64.5,101,5.397898
-64.5,101,5.468303
-19.5,13,5.548544
-64.5,101,5.548544
10.112245,15,5.629957
9.877551,22,5.68633
9.744898,19,5.816667
-64.5,101,5.919852
-64.5,101,6.034011
15.010204,15,6.133155
-64.5,101,6.279269
-64.5,101,6.445069
-19.0,12,10.266404
-64.5,101,10.303135
-64.5,101,10.486147
-30.5,35,10.501772
13.561225,13,10.56623
14.061225,12,10.632745
-64.5,101,10.632745
12.112245,11,10.700703
-20.5,15,10.799839
-64.5,101,10.874739
-24.5,23,10.93721
